model_name	dataset_name	--learning_rate	--seed	set_type	acc
bert-large-uncased	SST-2	3e-05	130	dev	0.931113662456946
bert-large-uncased	SST-2	3e-05	131	dev	0.5086107921928817
bert-large-uncased	SST-2	3e-05	132	dev	0.9299655568312285
bert-large-uncased	SST-2	3e-05	133	dev	0.9276693455797933
bert-large-uncased	SST-2	3e-05	134	dev	0.9253731343283582
bert-large-uncased	SST-2	3e-05	135	dev	0.9299655568312285
bert-large-uncased	SST-2	3e-05	136	dev	0.9253731343283582
bert-large-uncased	SST-2	3e-05	137	dev	0.9322617680826636
bert-large-uncased	SST-2	3e-05	138	dev	0.9368541905855339
bert-large-uncased	SST-2	3e-05	139	dev	0.9334098737083811
bert-large-uncased	SST-2	3e-05	140	dev	0.928817451205511
bert-large-uncased	SST-2	3e-05	141	dev	0.9322617680826636
bert-large-uncased	SST-2	3e-05	142	dev	0.928817451205511
bert-large-uncased	SST-2	3e-05	143	dev	0.9334098737083811
bert-large-uncased	SST-2	3e-05	144	dev	0.9230769230769231
bert-large-uncased	SST-2	3e-05	145	dev	0.931113662456946
bert-large-uncased	SST-2	3e-05	146	dev	0.9276693455797933
bert-large-uncased	SST-2	3e-05	147	dev	0.9230769230769231
bert-large-uncased	SST-2	3e-05	148	dev	0.9322617680826636
bert-large-uncased	SST-2	3e-05	149	dev	0.9334098737083811
bert-large-uncased	SST-2	3e-05	150	dev	0.5086107921928817
bert-large-uncased	SST-2	3e-05	151	dev	0.9357060849598163
bert-large-uncased	SST-2	3e-05	152	dev	0.9334098737083811
bert-large-uncased	SST-2	3e-05	153	dev	0.9299655568312285
bert-large-uncased	SST-2	3e-05	154	dev	0.9380022962112514
bert-large-uncased	SST-2	3e-05	155	dev	0.9253731343283582
bert-large-uncased	SST-2	3e-05	156	dev	0.9276693455797933
bert-large-uncased	SST-2	3e-05	157	dev	0.931113662456946
bert-large-uncased	SST-2	3e-05	158	dev	0.9265212399540758
bert-large-uncased	SST-2	3e-05	159	dev	0.9322617680826636
bert-large-uncased	SST-2	3e-05	160	dev	0.9299655568312285
bert-large-uncased	SST-2	3e-05	161	dev	0.9276693455797933
bert-large-uncased	SST-2	3e-05	162	dev	0.9334098737083811
bert-large-uncased	SST-2	3e-05	163	dev	0.9265212399540758
bert-large-uncased	SST-2	3e-05	164	dev	0.9380022962112514
bert-large-uncased	SST-2	3e-05	165	dev	0.9276693455797933
bert-large-uncased	SST-2	3e-05	166	dev	0.9357060849598163
bert-large-uncased	SST-2	3e-05	167	dev	0.928817451205511
bert-large-uncased	SST-2	3e-05	168	dev	0.9265212399540758
bert-large-uncased	SST-2	3e-05	169	dev	0.9345579793340988
bert-large-uncased	SST-2	3e-05	170	dev	0.931113662456946
bert-large-uncased	SST-2	3e-05	171	dev	0.9334098737083811
bert-large-uncased	SST-2	3e-05	172	dev	0.9253731343283582
bert-large-uncased	SST-2	3e-05	173	dev	0.9253731343283582
bert-large-uncased	SST-2	3e-05	174	dev	0.928817451205511
bert-large-uncased	SST-2	3e-05	100	dev	0.9265212399540758
bert-large-uncased	SST-2	3e-05	101	dev	0.9242250287026407
bert-large-uncased	SST-2	3e-05	102	dev	0.9265212399540758
bert-large-uncased	SST-2	3e-05	103	dev	0.931113662456946
bert-large-uncased	SST-2	3e-05	104	dev	0.9368541905855339
bert-large-uncased	SST-2	3e-05	105	dev	0.9242250287026407
bert-large-uncased	SST-2	3e-05	106	dev	0.5086107921928817
bert-large-uncased	SST-2	3e-05	107	dev	0.5086107921928817
bert-large-uncased	SST-2	3e-05	108	dev	0.9322617680826636
bert-large-uncased	SST-2	3e-05	109	dev	0.9265212399540758
bert-large-uncased	SST-2	3e-05	110	dev	0.9242250287026407
bert-large-uncased	SST-2	3e-05	111	dev	0.9276693455797933
bert-large-uncased	SST-2	3e-05	112	dev	0.9242250287026407
bert-large-uncased	SST-2	3e-05	113	dev	0.9357060849598163
bert-large-uncased	SST-2	3e-05	114	dev	0.5086107921928817
bert-large-uncased	SST-2	3e-05	115	dev	0.9322617680826636
bert-large-uncased	SST-2	3e-05	116	dev	0.931113662456946
bert-large-uncased	SST-2	3e-05	117	dev	0.9357060849598163
bert-large-uncased	SST-2	3e-05	118	dev	0.9299655568312285
bert-large-uncased	SST-2	3e-05	119	dev	0.9334098737083811
bert-large-uncased	SST-2	3e-05	120	dev	0.928817451205511
bert-large-uncased	SST-2	3e-05	121	dev	0.9242250287026407
bert-large-uncased	SST-2	3e-05	122	dev	0.9219288174512055
bert-large-uncased	SST-2	3e-05	123	dev	0.9299655568312285
bert-large-uncased	SST-2	3e-05	124	dev	0.9276693455797933
bert-large-uncased	SST-2	3e-05	125	dev	0.9299655568312285
bert-large-uncased	SST-2	3e-05	126	dev	0.9448909299655568
bert-large-uncased	SST-2	3e-05	127	dev	0.9345579793340988
bert-large-uncased	SST-2	3e-05	128	dev	0.9265212399540758
bert-large-uncased	SST-2	3e-05	129	dev	0.939150401836969
